Channel Name,Video URL,Views,Likes,Dislikes,Title,# Of Title Chars,# Of Description Chars
bald and bankrupt,https://www.youtube.com/watch?v=JUiTux637wc,"318,378 views",7K,129,This Is How You Find A Job In India 🇮🇳,38,272
bald and bankrupt,https://www.youtube.com/watch?v=zkY6XApaOog,"1,049,001 views",15K,441,Is Your City This Crazy?! Mumbai Madness,40,279
bald and bankrupt,https://www.youtube.com/watch?v=Hdm24qlSoVk,"728,736 views",11K,340,Goa To Mumbai Adventure 🇮🇳,26,192
bald and bankrupt,https://www.youtube.com/watch?v=g68NJ1-GEiE,"2,280,718 views",32K,1.5K,Mumbai Antique Market Hunt // Chor Bazaar,41,234
bald and bankrupt,https://www.youtube.com/watch?v=0n7_7GkyJw8,"989,101 views",17K,672,India $1 Gym Workout 🇮🇳,23,199
bald and bankrupt,https://www.youtube.com/watch?v=V9RI1hlhGjY,"74,980 views",2.3K,22,Ancient Indian Technology Revealed,34,202
bald and bankrupt,https://www.youtube.com/watch?v=h4S1xy5d_Vk,"1,058,277 views",19K,483,Motorcycle Hunt In Udaipur India,32,296
bald and bankrupt,https://www.youtube.com/watch?v=CbEw9wiTxms,"201,118 views",5.3K,80,Wild Welcome In Jodhpur ( India ),33,146
bald and bankrupt,https://www.youtube.com/watch?v=BZ9A5Oci81Y,"504,658 views",8.7K,1.6K,Indian Woman Rejects Foreigner!,31,236
bald and bankrupt,https://www.youtube.com/watch?v=nnzGl_0aBik,"207,000 views",4K,42,Royal Enfield Rajasthan Fort Hunt,33,289
bald and bankrupt,https://www.youtube.com/watch?v=p277Km3BYWU,"172,997 views",3.9K,122,India Cobra Safari,18,306
bald and bankrupt,https://www.youtube.com/watch?v=wZFBS4uub3E,"321,560 views",6.2K,92,Motorcycling India With Harald Baldr,36,212
bald and bankrupt,https://www.youtube.com/watch?v=PqGcDGKYhR4,"693,168 views",8.6K,264,Delhi Hotel Hunt,16,174
bald and bankrupt,https://www.youtube.com/watch?v=PihyMGId-bg,"897,800 views",15K,410,India Street Food At The Delhi Funfair,38,262
bald and bankrupt,https://www.youtube.com/watch?v=V9NROzEVqMw,"482,742 views",11K,519,Is Karl Rock Right: Are Indians Scammers?,41,553
bald and bankrupt,https://www.youtube.com/watch?v=uQUxS3woK4U,"2,950,939 views",40K,1.4K,"Bargaining At Thieve's Market | Chor Bazaar, Delhi",50,232
bald and bankrupt,https://www.youtube.com/watch?v=aFUDm9AIsHw,"1,808,805 views",30K,726,Eating Indian Street Food In Delhi Night Market,47,344
bald and bankrupt,https://www.youtube.com/watch?v=VhNZ4R1XZTQ,"806,016 views",24K,342,Two Foreigners Speaking Hindi In India,38,316
bald and bankrupt,https://www.youtube.com/watch?v=ezio4yZQmV8,"881,803 views",14K,506,"Street Food At Thieve's Market | Chor Bazaar, Delhi",51,135
bald and bankrupt,https://www.youtube.com/watch?v=ZdLz4FjPU30,"654,974 views",17K,308,Khabib Returns To Dagestan ( UFC Part 6 ),41,211
bald and bankrupt,https://www.youtube.com/watch?v=D0knAQL9WtM,"209,145 views",9.9K,154,Beslan: Russia's Tragedy,24,130
